lon,lat,AOD,albedo,cloud,tp,tp_local,tp_yang_match
-68.25,-55.75,0.0558402445328479,0.0142614904215448,0.794879746407719,5,3,5
-67.75,-55.75,0.0505697525453442,0.0142614904215448,0.777383971474734,5,3,5
-67.25,-55.75,0.0505697525453442,0.0142614904215448,0.779852584411308,5,3,5
-70.75,-55.25,0.0708201290090576,0.0142614904215448,0.840967788216636,5,3,5
-70.25,-55.25,0.0708201290090576,0.0142614904215448,0.839516966592255,5,3,5
-69.75,-55.25,0.059919537904839,0.0630115174979377,0.910482914223908,5,3,5
-69.25,-55.25,0.059919537904839,0.314640441301638,0.899919798941377,5,5,5
-68.75,-55.25,0.0558402445328479,0.290587781977959,0.875173884386138,5,3,5
-68.25,-55.25,0.0558402445328479,0.125056160498424,0.77834187451952,5,3,5
-67.75,-55.25,0.0505697525453442,0.0432365425932544,0.796468795513328,5,3,5
-67.25,-55.25,0.0505697525453442,0.0450002894481927,0.786543423278046,5,3,5
-66.75,-55.25,0.0532668060144292,0.0142614904215448,0.739732702221632,5,3,5
-71.75,-54.75,0.063695412761558,0.0142614904215448,0.848095110505643,5,3,5
-71.25,-54.75,0.063695412761558,0.0142614904215448,0.877601060001718,5,3,5
-70.75,-54.75,0.0546602836401232,0.181149407572909,0.900023495321777,5,3,5
-70.25,-54.75,0.0546602836401232,0.421034309803555,0.922877002473677,5,5,5
-69.75,-54.75,0.0467601645202616,0.754584873945362,0.927262246123127,3,5,5
-69.25,-54.75,0.0467601645202616,0.646425888916489,0.947234725608851,3,5,5
-68.75,-54.75,0.0372305755961612,0.445923449608248,0.889335964998349,5,5,5
-68.25,-54.75,0.0372305755961612,0.293211233097504,0.80946460107978,5,3,5
-67.75,-54.75,0.0400624817387005,0.215428172740739,0.807398713548993,5,3,5
-67.25,-54.75,0.0400624817387005,0.194422744468709,0.802248374090877,5,3,5
-66.75,-54.75,0.0394556447081563,0.172685417039491,0.823743829740027,5,3,5
-66.25,-54.75,0.0394556447081563,0.116485209628738,0.817973322018814,5,3,5
-65.75,-54.75,0.0418492796619693,0.0460580886990745,0.779818465622131,5,3,5
-65.25,-54.75,0.0418492796619693,0.0142614904215448,0.749034607700603,5,3,5
-64.75,-54.75,0.0482210684826827,0.0142614904215448,0.73940300751715,5,3,5
-64.25,-54.75,0.0482210684826827,0.0142614904215448,0.759586899802277,5,3,5
-72.75,-54.25,0.067549951677792,0.0142614904215448,0.824656893892692,5,3,5
-72.25,-54.25,0.067549951677792,0.0311290777133863,0.862367793718419,5,3,5
-71.75,-54.25,0.063695412761558,0.0776858521118568,0.892765057927532,5,3,5
-71.25,-54.25,0.063695412761558,0.101117970293091,0.910117090710947,5,3,5
-70.75,-54.25,0.0546602836401232,0.0602075737188513,0.909802806154447,5,3,5
-70.25,-54.25,0.0546602836401232,0.204623360320056,0.862225958510238,5,3,5
-69.75,-54.25,0.0467601645202616,0.294222012097724,0.808616527551212,5,3,5
-69.25,-54.25,0.0467601645202616,0.29129415728124203,0.810397507730682,5,3,5
-68.75,-54.25,0.0372305755961612,0.243166919333639,0.821459674728626,5,3,5
-68.25,-54.25,0.0372305755961612,0.190619024937242,0.743513600067619,5,3,5
-67.75,-54.25,0.0400624817387005,0.131850179871298,0.692146886798998,5,3,5
-67.25,-54.25,0.0400624817387005,0.0672855693088993,0.704337860021354,5,3,5
-66.75,-54.25,0.0394556447081563,0.0540967393188056,0.715023844176088,5,3,5
-73.75,-53.75,0.0665048434585216,0.0142614904215448,0.835128115215853,5,3,5
-73.25,-53.75,0.0665048434585216,0.0523243535949558,0.920957588657152,5,3,5
-72.75,-53.75,0.0590991841413256,0.211012015929301,0.926630893906478,5,3,5
-72.25,-53.75,0.0590991841413256,0.159050550214317,0.893234577820893,5,3,5
-71.75,-53.75,0.0558402445328479,0.121746488458397,0.898746669214409,5,3,5
-71.25,-53.75,0.0558402445328479,0.15599451021514,0.889137230782234,5,3,5
-70.75,-53.75,0.0460971388757782,0.0655627608437768,0.68915783348008,5,3,5
